country,trackID,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Austrialia,0,I Can't Get Excited - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,303060,37,0.424,0.0942,0.424,0.903,0.000901,0.941,-10.701,0.156,145.087,4
Austrialia,1,Lost in Love - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,355592,26,0.474,0.64,0.474,0.671,0.0118,0.95,-14.806,0.0968,122.316,4
Austrialia,2,Every Woman in The World - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,265940,25,0.522,0.803,0.522,0.413,0.157,0.81,-14.376,0.0428,76.877,4
Austrialia,3,Even the Nights Are Better - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,232556,24,0.425,0.491,0.425,0.644,0.000258,0.879,-13.922,0.0887,124.21,4
Austrialia,4,Now and Forever - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,249901,23,0.521,0.801,0.521,0.361,0.000423,0.684,-14.653,0.0328,105.242,3
Austrialia,5,One Step Closer - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,220592,22,0.418,0.208,0.418,0.863,0.00423,0.653,-12.152,0.0571,151.661,4
Austrialia,6,Late Again - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,389943,21,0.391,0.279,0.391,0.778,0.00461,0.35,-13.363,0.0832,142.259,4
Austrialia,7,Young Love - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,244050,20,0.387,0.876,0.387,0.513,0.307,0.804,-13.727,0.0434,117.094,4
Austrialia,8,Here I Am - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,245486,21,0.418,0.888,0.418,0.336,0.211,0.879,-15.204,0.0306,143.395,4
Austrialia,9,Sweet Dreams - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,399792,20,0.338,0.662,0.338,0.618,0.0453,0.864,-13.883,0.0844,124.907,4
Austrialia,10,She Never Heard Me Call - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,234907,19,0.421,0.867,0.421,0.172,0.168,0.771,-18.833,0.0327,114.621,4
Austrialia,11,All Out Of Love - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,360895,21,0.329,0.617,0.329,0.446,0.000918,0.312,-16.024,0.0595,113.009,4
Austrialia,12,I've Got Your Love - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,304471,18,0.439,0.635,0.439,0.422,0.0084,0.839,-14.986,0.043,117.128,4
Austrialia,13,The One That You Love - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,371527,19,0.377,0.745,0.377,0.554,4.79E-05,0.909,-14.32,0.0818,111.92,4
Austrialia,14,This Heart Belongs to Me - Live 1982,Breaking Away (Live 1982),Air Supply,3/31/2020,370848,17,0.455,0.0593,0.455,0.844,0.00044,0.68,-12.744,0.0732,149.232,4
Austrialia,15,Sweet Dreams (Live),The Lost in Love Experience,Air Supply,2/14/2019,314255,22,0.408,0.00247,0.408,0.931,0.00487,0.729,-2.403,0.062,125.911,4
Austrialia,16,Even the Nights Are Better (Live),The Lost in Love Experience,Air Supply,2/14/2019,270411,22,0.523,0.00102,0.523,0.98,0.000124,0.715,-1.689,0.0737,116.047,4
Austrialia,17,Every Woman in the World (Live),The Lost in Love Experience,Air Supply,2/14/2019,231803,21,0.41,0.0281,0.41,0.872,0.000382,0.928,-2.448,0.0426,151.125,4
Austrialia,18,Here I Am (Live),The Lost in Love Experience,Air Supply,2/14/2019,275901,21,0.472,0.149,0.472,0.761,7.40E-06,0.699,-3.241,0.0356,132.972,4
Austrialia,19,Chances (Live),The Lost in Love Experience,Air Supply,2/14/2019,269233,19,0.435,0.00504,0.435,0.874,3.86E-05,0.979,-2.464,0.0473,106.026,4
Austrialia,20,Goodbye (Live),The Lost in Love Experience,Air Supply,2/14/2019,242716,21,0.483,0.0462,0.483,0.833,0.000303,0.937,-3.681,0.0339,131.899,4
